shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
977937,43.67737,-79.36826,41,
977937,43.677730000000004,-79.36844,42,
977937,43.678050000000006,-79.36859000000001,43,
977937,43.678180000000005,-79.3686,44,
977937,43.6783,-79.36854000000001,45,
977937,43.67837,-79.36848,46,
977937,43.678520000000006,-79.36831000000001,47,
977937,43.67857,-79.36827000000001,48,
977937,43.678740000000005,-79.36799,49,
977937,43.679100000000005,-79.36748,50,
977937,43.679280000000006,-79.36716000000001,51,
977937,43.679300000000005,-79.36708,52,
977937,43.67947,-79.36683000000001,53,
977937,43.680220000000006,-79.36568000000001,54,
977937,43.680690000000006,-79.36498,55,
977937,43.68084,-79.36478000000001,56,
977937,43.680980000000005,-79.36463,57,
977937,43.68124,-79.36443000000001,58,
977937,43.68211,-79.36396,59,
977937,43.68222,-79.36388000000001,60,
977937,43.68231,-79.36377,61,
977937,43.682480000000005,-79.3635,62,
977937,43.682550000000006,-79.36334000000001,63,
977937,43.682590000000005,-79.36318,64,
977937,43.682590000000005,-79.36301,65,
977937,43.682550000000006,-79.36288,66,
977937,43.68249,-79.36281000000001,67,
977937,43.682410000000004,-79.36273000000001,68,
977937,43.682300000000005,-79.3627,69,
977937,43.68159000000001,-79.36271,70,
977937,43.681140000000006,-79.3627,71,
977937,43.68104,-79.3626,72,
977937,43.680960000000006,-79.3626,73,
977937,43.680690000000006,-79.36257,74,
977937,43.67985,-79.36248,75,
977937,43.678610000000006,-79.36235,76,
977937,43.678050000000006,-79.36227000000001,77,
977937,43.677490000000006,-79.36216,78,
977937,43.676950000000005,-79.36203,79,
977937,43.67631,-79.36185,80,
977937,43.67503000000001,-79.36145,81,
977937,43.67461,-79.36128000000001,82,
977937,43.67409000000001,-79.36102000000001,83,
977937,43.67362000000001,-79.36073,84,
977937,43.673230000000004,-79.36046,85,
977937,43.67269,-79.36002,86,
977937,43.67217,-79.35954000000001,87,
977937,43.6711,-79.35854,88,
977937,43.67072,-79.35820000000001,89,
977937,43.670350000000006,-79.35791,90,
977937,43.669900000000005,-79.35761000000001,91,
977937,43.669450000000005,-79.35739000000001,92,
977937,43.66903000000001,-79.35723,93,
977937,43.66845000000001,-79.35706,94,
977937,43.6676,-79.35681000000001,95,
977937,43.66434,-79.35586,96,
977937,43.66322,-79.35553,97,
977937,43.66284,-79.35542000000001,98,
977937,43.66274000000001,-79.35537000000001,99,
977937,43.66257,-79.35531,100,
977937,43.662330000000004,-79.35524000000001,101,
977937,43.662020000000005,-79.35514,102,
977937,43.66122,-79.35491,103,
977937,43.66067,-79.35476000000001,104,
977937,43.65941,-79.35442,105,
977937,43.65879,-79.35419,106,
977937,43.658260000000006,-79.35392,107,
977937,43.65784,-79.35365,108,
977937,43.65762,-79.35347,109,
977937,43.65726,-79.35316,110,
977937,43.65704,-79.35295,111,
977937,43.65644,-79.35226,112,
977937,43.65596,-79.35169,113,
977937,43.65522000000001,-79.35086000000001,114,
977937,43.654880000000006,-79.35048,115,
977937,43.654120000000006,-79.34969000000001,116,
977937,43.65363000000001,-79.34927,117,
977937,43.65344,-79.34911000000001,118,
977937,43.65339,-79.349,119,
977937,43.65305,-79.34874,120,
977937,43.65281,-79.34859,121,
977937,43.65260000000001,-79.34843000000001,122,
977937,43.65249,-79.34832,123,
977937,43.65234,-79.34817000000001,124,
977937,43.65195000000001,-79.34782000000001,125,
977937,43.65129,-79.34725,126,
977937,43.651140000000005,-79.34713,127,
977937,43.65102,-79.34702,128,
977937,43.65106,-79.34694,129,
977937,43.65135,-79.34629000000001,130,
977937,43.65158,-79.34571000000001,131,
977937,43.65194,-79.34477000000001,132,
977937,43.652150000000006,-79.3442,133,
977937,43.652440000000006,-79.34347000000001,134,
977937,43.653270000000006,-79.34151,135,
977937,43.653830000000006,-79.34016000000001,136,
977937,43.65404,-79.33969,137,
977937,43.654770000000006,-79.33798,138,
977937,43.655080000000005,-79.33722,139,
977937,43.655480000000004,-79.33630000000001,140,
977937,43.65585,-79.33552,141,
977937,43.656560000000006,-79.33405,142,
977937,43.65711,-79.33290000000001,143,
977937,43.657790000000006,-79.33139000000001,144,
977937,43.658080000000005,-79.33065,145,
977937,43.65861,-79.32942000000001,146,
977937,43.6587,-79.32919000000001,147,
977937,43.65892,-79.32852000000001,148,
977937,43.65921,-79.32745000000001,149,
977937,43.659420000000004,-79.32663000000001,150,
977937,43.65975,-79.32512000000001,151,
977937,43.660000000000004,-79.32404000000001,152,
977937,43.66033,-79.32303,153,
977937,43.66048000000001,-79.32252000000001,154,
977937,43.66064,-79.32188000000001,155,
977937,43.660740000000004,-79.32163000000001,156,
977937,43.661030000000004,-79.32032000000001,157,
977937,43.661480000000005,-79.31836000000001,158,
977937,43.66183,-79.31673,159,
977937,43.66201,-79.31595,160,
977937,43.662020000000005,-79.31566000000001,161,
977937,43.66219,-79.31491000000001,162,
977937,43.66234,-79.31426,163,
977937,43.66284,-79.31209000000001,164,
977937,43.663140000000006,-79.31074000000001,165,
977937,43.663610000000006,-79.30869000000001,166,
977937,43.66396,-79.30718,167,
977937,43.66407,-79.30685000000001,168,
977937,43.66422,-79.30647,169,
977937,43.664480000000005,-79.30598,170,
977937,43.664730000000006,-79.30562,171,
977937,43.665090000000006,-79.30523000000001,172,
977937,43.665400000000005,-79.30496000000001,173,
977937,43.66564,-79.30482,174,
977937,43.665870000000005,-79.30474000000001,175,
977937,43.666050000000006,-79.30471,176,
977937,43.666250000000005,-79.30473,177,
977937,43.666470000000004,-79.30481,178,
977937,43.666630000000005,-79.30488000000001,179,
977937,43.66668000000001,-79.30494,180,
977937,43.66689,-79.30502000000001,181,
977937,43.66702,-79.30508,182,
977937,43.668380000000006,-79.30564000000001,183,
977937,43.66875,-79.30579,184,
977937,43.66888,-79.30521,185,
977937,43.66901,-79.30465000000001,186,
977937,43.669180000000004,-79.30388,187,
977937,43.669720000000005,-79.30144,188,
977937,43.670480000000005,-79.29798000000001,189,
977937,43.671420000000005,-79.29354000000001,190,
977937,43.67313,-79.28524,191,
977937,43.6706,-79.28419000000001,192,
