trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
20003,,,300108,48,,0,0,
20003,,,300109,49,,0,0,
20003,,,300110,50,,0,0,
20003,,,300111,51,,0,0,
20003,,,300112,52,,0,0,
20003,,,300113,53,,0,0,
20003,,,300114,54,,0,0,
20003,,,300115,55,,0,0,
20003,,,300116,56,,0,0,
20003,,,300117,57,,0,0,
20003,,,300118,58,,0,0,
20003,,,300119,59,,0,0,
20003,,,300120,60,,0,0,
20003,,,300121,61,,0,0,
20003,,,300122,62,,0,0,
20003,,,300123,63,,0,0,
20003,,,300124,64,,0,0,
20003,,,300125,65,,0,0,
20003,,,300126,66,,0,0,
20003,,,300127,67,,0,0,
20003,,,300128,68,,0,0,
20003,,,300129,69,,0,0,
20003,,,300130,70,,0,0,
20003,,,300131,71,,0,0,
20003,,,300132,72,,0,0,
20003,,,300133,73,,0,0,
20003,,,300134,74,,0,0,
20003,,,300135,75,,0,0,
20003,,,300136,76,,0,0,
20003,,,300137,77,,0,0,
20003,,,300138,78,,0,0,
20003,,,300139,79,,0,0,
20003,,,300140,80,,0,0,
20003,,,300141,81,,0,0,
20003,,,300142,82,,0,0,
20003,,,300143,83,,0,0,
20003,,,300144,84,,0,0,
20003,,,300145,85,,0,0,
20003,,,300146,86,,0,0,
20003,,,300147,87,,0,0,
20003,,,300148,88,,0,0,
20003,,,300149,89,,0,0,
20003,,,300150,90,,0,0,
20003,,,300151,91,,0,0,
20003,,,300152,92,,0,0,
20003,,,300153,93,,0,0,
20003,,,300154,94,,0,0,
20003,,,300155,95,,0,0,
20003,,,300156,96,,0,0,
20003,,,300157,97,,0,0,
20003,,,300158,98,,0,0,
20003,,,300159,99,,0,0,
20003,,,300160,100,,0,0,
20003,,,300161,101,,0,0,
20003,,,300162,102,,0,0,
20003,,,300163,103,,0,0,
20003,,,300164,104,,0,0,
20003,,,300165,105,,0,0,
20003,,,300166,106,,0,0,
20003,,,300167,107,,0,0,
20003,,,300168,108,,0,0,
20003,,,300169,109,,0,0,
20003,,,300170,110,,0,0,
20003,,,300171,111,,0,0,
20003,,,300172,112,,0,0,
20003,,,300173,113,,0,0,
20003,,,300174,114,,0,0,
20003,,,300175,115,,0,0,
20003,,,300176,116,,0,0,
20003,,,300177,117,,0,0,
20003,,,300178,118,,0,0,
20003,,,300179,119,,0,0,
20003,,,300180,120,,0,0,
20003,,,300181,121,,0,0,
20003,,,300182,122,,0,0,
20003,,,300183,123,,0,0,
20003,,,300184,124,,0,0,
20003,,,300185,125,,0,0,
20003,,,300186,126,,0,0,
20003,,,300187,127,,0,0,
20003,,,300188,128,,0,0,
20003,,,300189,129,,0,0,
20003,,,300190,130,,0,0,
20003,,,300191,131,,0,0,
20003,,,300192,132,,0,0,
20003,,,300193,133,,0,0,
20003,,,300194,134,,0,0,
20003,,,300195,135,,0,0,
20003,,,300196,136,,0,0,
20003,,,300197,137,,0,0,
20003,,,300198,138,,0,0,
20003,,,300199,139,,0,0,
20003,,,300200,140,,0,0,
20003,,,300201,141,,0,0,
20003,,,300202,142,,0,0,
20003,,,300203,143,,0,0,
20003,,,300204,144,,0,0,
20003,,,300205,145,,0,0,
20003,,,300206,146,,0,0,
20003,,,300207,147,,0,0,
20003,,,300208,148,,0,0,
20003,,,300209,149,,0,0,
20003,,,300210,150,,0,0,
20003,,,300211,151,,0,0,
20003,,,300212,152,,0,0,
20003,,,300213,153,,0,0,
20003,,,300214,154,,0,0,
20003,,,300215,155,,0,0,
20003,,,300216,156,,0,0,
20003,,,300217,157,,0,0,
20003,,,300218,158,,0,0,
20003,,,300219,159,,0,0,
20003,,,300220,160,,0,0,
20003,,,300221,161,,0,0,
20003,,,300222,162,,0,0,
20003,,,300223,163,,0,0,
20003,,,300224,164,,0,0,
20003,,,300225,165,,0,0,
20003,,,300226,166,,0,0,
20003,,,300227,167,,0,0,
20003,,,300228,168,,0,0,
20003,,,300229,169,,0,0,
20003,,,300230,170,,0,0,
20003,,,300231,171,,0,0,
20003,,,300232,172,,0,0,
20003,,,300233,173,,0,0,
20003,,,300234,174,,0,0,
20003,,,300235,175,,0,0,
20003,,,300236,176,,0,0,
20003,,,300237,177,,0,0,
20003,,,300238,178,,0,0,
20003,,,300239,179,,0,0,
20003,,,300240,180,,0,0,
20003,,,300241,181,,0,0,
20003,,,300242,182,,0,0,
20003,,,300243,183,,0,0,
20003,,,300244,184,,0,0,
20003,,,300245,185,,0,0,
20003,,,300246,186,,0,0,
20003,,,300247,187,,0,0,
20003,,,300248,188,,0,0,
20003,,,300249,189,,0,0,
20003,,,300250,190,,0,0,
20003,,,300251,191,,0,0,
20003,08:50:20,08:50:20,300252,192,,0,0,
